TIME,DATE,@ActExtTorque6,@ActConsumpPower
11:27:51,20200822,20.24,20.1
11:28:01,20200822,20.2,20.1
11:28:17,20200822,20.11,19.1
11:28:27,20200822,20.32,18.5
11:28:37,20200822,20.2,18.1
11:28:53,20200822,20.15,17.3
11:29:03,20200822,19.99,16.4
11:29:13,20200822,19.99,16.3
11:29:28,20200822,20.03,15.3
11:29:39,20200822,19.74,15.1
11:29:54,20200822,19.94,15.1
11:30:04,20200822,19.78,14.8
11:30:19,20200822,19.86,15.2
11:30:30,20200822,20.15,16.1
11:30:40,20200822,20.28,17.2
11:30:50,20200822,20.41,18.9
11:31:05,20200822,20.41,20.2
11:31:15,20200822,20.32,20.8
11:31:31,20200822,20.07,21.9
11:31:41,20200822,19.99,22.4
11:31:51,20200822,19.9,21.9
11:32:06,20200822,19.65,22.2
11:32:17,20200822,20.03,21.8
11:32:32,20200822,19.9,20.4
11:32:42,20200822,19.69,19.6
11:32:52,20200822,20.11,18.3
11:33:07,20200822,20.28,17.1
11:33:18,20200822,20.32,16.3
11:33:28,20200822,20.24,15.2
11:33:43,20200822,20.36,14.9
11:33:53,20200822,20.07,14.9
11:34:09,20200822,19.99,14.8
11:34:19,20200822,20.15,15.9
11:34:29,20200822,20.03,16.7
11:34:44,20200822,20.15,18.2
11:34:54,20200822,20.49,19.1
11:35:09,20200822,20.36,18.9
11:35:20,20200822,20.24,19.8
11:35:30,20200822,20.03,20.5
11:35:45,20200822,20.32,19.8
11:35:55,20200822,19.9,19.3
11:36:05,20200822,19.82,19.3
11:36:21,20200822,19.94,18.6
11:36:31,20200822,19.82,18.2
11:36:41,20200822,19.82,17.6
11:36:56,20200822,20.15,16.9
11:37:06,20200822,20.32,16.4
11:37:22,20200822,20.15,15.9
11:37:32,20200822,20.2,15.7
11:37:42,20200822,20.03,15.7
11:37:58,20200822,19.9,15.5
11:38:08,20200822,19.9,15.3
11:38:23,20200822,20.03,15.6
11:38:33,20200822,19.78,16.2
11:38:44,20200822,19.94,16.3
11:38:54,20200822,19.99,16.7
11:39:09,20200822,20.15,17.6
11:39:19,20200822,20.32,18.3
11:39:34,20200822,20.32,19.2
11:39:45,20200822,20.2,19.7
11:39:55,20200822,20.28,20.5
11:40:10,20200822,20.11,21.5
11:40:20,20200822,19.82,22.0
11:40:35,20200822,19.69,23.0
11:40:46,20200822,19.86,23.5
11:40:56,20200822,20.28,22.8
11:41:11,20200822,20.11,22.6
11:41:21,20200822,19.99,22.0
11:41:32,20200822,20.15,20.9
11:41:47,20200822,20.03,20.1
11:41:57,20200822,20.62,18.7
11:42:12,20200822,20.74,17.2
11:42:22,20200822,20.62,15.8
11:42:37,20200822,20.11,15.0
11:42:48,20200822,20.11,14.5
11:42:58,20200822,20.11,14.3
11:43:13,20200822,20.03,14.1
11:43:23,20200822,20.11,14.0
11:43:33,20200822,20.32,14.3
11:43:49,20200822,20.41,15.0
11:43:59,20200822,20.53,15.6
11:44:09,20200822,20.11,16.1
11:44:24,20200822,19.78,17.0
11:44:34,20200822,19.99,18.2
11:44:49,20200822,20.32,18.9
11:45:00,20200822,20.36,19.6
11:45:10,20200822,20.03,21.1
11:45:25,20200822,20.15,21.8
11:45:35,20200822,20.57,22.0
